Passport,Name,City,Street,Phone
78№4637462,"Казакова Алла Вячеславовна ","Псковская обл. д.  Новая Быковка 247286 ","проезд Александровская д.  2 "," +79125869231"
10№5590201,"Булгакова Надежда Васильевна ","Ленинградская обл. г.  Слукино 227282 ",ул. Александровская д.  34 кв. 73," +79906358068"
82№6881936,"Белов Куприян Феликсович "," г.  Москва 215527 ","ул. Автодоровская д.  34 "," +79718383614"
76№7170810,"Алёхина Гликерия Владимировна ","Московская обл. г.  Никологоры 288646 ",ул. Дисенская д.  2 кв. 34," +79537088133"
67№6581149,"Золотова Лидия Егоровна ","Белгородская обл. село  Яблоново 246700 ","ул. Александровская д.  30 "," +79887773832"
40№5798385,"Ерофеева Сусанна Яковлевна ","Владимирская обл. д.  Гусевский 232010 ","ул. Дисенская д.  95 "," +79674434538"
14№8299258,"Журавлёва Ольга Георгиевна ","Псковская обл. г.  Волковойно 267539 ",ул. Дисенская д.  61 кв. 31," +79916115938"
28№4989809,"Симонов Викентий Михайлович ","Костромская обл. д.  Иваньково 216090 ","ул. Бехтерева д.  92 "," +79472647600"
25№6658494,"Верещагина Полина Федоровна ","Ленинградская обл. г.  Слукино 227282 ","ул. Гастелло д.  84 "," +79421205201"
31№6984411,"Емельянов Емельян Геннадиевич ","Ленинградская обл. д.  Борисово 269109 ","ул. Казея д.  87 "," +79573007510"
33№7813594,"Вагина Антонина Валентиновна ","Чеченская Рес. г.  Шали 239513 ","ул. Виноградная д.  42 "," +79740067642"
76№8608915,"Крюков Германн Владимирович ","Московская обл. аг.  Крутые 279377 ","ул. Ивановская д.  55 "," +79628728876"
90№8991854,"Красильников Валентин Владимирович ","Калининградская обл. аг.  Золотово 285873 ",ул. Макаренко д.  52 кв. 6," +79598089625"
43№9190168,"Ильина Серафима Александровна ","Псковская обл. г.  Волковойно 267539 ","ул. Автодоровская д.  75 "," +79564232481"
11№2059350,"Афанасьев Германн Тарасович ","Ленинградская обл. аг.  Хорошево 299378 ",ул. Казея д.  40 кв. 25," +79107854552"
71№1891330,"Дмитриев Мина Витальевич ","Псковская обл. село  Пищихино 224451 ",ул. Бехтерева д.  98 кв. 24," +79455840817"
77№5862461,"Овчинников Никифор Богданович ","Воронежская обл. аг.  Козлаково 228272 ",ул. Бехтерева д.  13 кв. 89," +79590613789"
68№4157207,"Шаров Прокопий Митрофанович "," г.  Санкт-Петербург 294982 ",проезд Александровская д.  91 кв. 77," +79310788065"
57№8708901,"Шарапов Артём Витальевич ","Владимирская обл. г.  Дубки 268211 ","ул. Белинского д.  17 "," +79312834366"
57№2254853,"Калашников Ерофей Юрьевич ","Ленинградская обл. д.  Борисово 269109 ",ул. Ватутина д.  57 кв. 89," +79429231395"
